date,ticker,underlying_price,pct_otm,weight
2020-01-24,SPY US 01/31/20 C265,328.77,-0.19396538613620462,1
2020-01-31,SPY US 02/07/20 C270,321.73,-0.16078699530662366,1
2020-02-07,SPY US 02/14/20 C270,332.2,-0.18723660445514745,1
2020-02-14,SPY US 02/21/20 C271,337.6,-0.19727488151658779,1
2020-02-21,SPY US 02/28/20 C270,333.48,-0.19035624325296874,1
2020-02-28,SPY US 03/06/20 C247,296.26,-0.16627286842638223,1
2020-03-06,SPY US 03/13/20 C238,297.46,-0.19989242251058958,1
2020-03-13,SPY US 03/20/20 C216,269.32,-0.19798009802465466,1
2020-03-20,SPY US 03/27/20 C185,228.8,-0.19143356643356646,1
2020-03-27,SPY US 04/03/20 C203,253.42,-0.19895825112461518,1
2020-04-03,SPY US 04/09/20 C200,248.19,-0.1941657601031468,1
2020-04-09,SPY US 04/17/20 C223,278.2,-0.19841840402588062,1
2020-04-17,SPY US 04/24/20 C230,286.64,-0.1975997767234161,1
2020-04-24,SPY US 05/01/20 C227,282.97,-0.1977948192387886,1
2020-05-01,SPY US 05/08/20 C227,282.79,-0.19728420382616085,1
2020-05-08,SPY US 05/15/20 C234,292.44,-0.19983586376692652,1
2020-05-15,SPY US 05/22/20 C230,286.28,-0.19659075031437745,1
2020-05-22,SPY US 05/29/20 C240,295.44,-0.18765231519090175,1
2020-05-29,SPY US 06/05/20 C245,304.32,-0.19492639327024186,1
2020-06-05,SPY US 06/12/20 C256,319.34,-0.19834658984154818,1
2020-06-12,SPY US 06/19/20 C244,304.21,-0.19792248775516907,1
2020-06-19,SPY US 06/26/20 C250,308.64,-0.1899948159668221,1
2020-07-10,SPY US 07/17/20 C255,317.59,-0.19707799363959821,1
2020-07-17,SPY US 07/24/20 C260,321.72,-0.19184383936342164,1
2020-07-24,SPY US 07/31/20 C260,320.88,-0.18972824731987037,1
2020-07-31,SPY US 08/07/20 C265,326.52,-0.18841112336150923,1
2020-08-07,SPY US 08/14/20 C270,334.57,-0.19299399228860925,1
2020-08-14,SPY US 08/21/20 C270,336.84,-0.19843249020306375,1
2020-08-21,SPY US 08/28/20 C275,339.48,-0.1899375515494286,1
2020-08-28,SPY US 09/04/20 C285,350.58,-0.18706144104056133,1
2020-09-04,SPY US 09/11/20 C275,342.57,-0.19724435881717606,1
2020-09-11,SPY US 09/18/20 C268,334.06,-0.19774890738190742,1
2020-09-18,SPY US 09/25/20 C265,330.65,-0.19854831392711325,1
2020-09-25,SPY US 10/02/20 C265,328.73,-0.19386730751680714,1
2020-10-02,SPY US 10/09/20 C270,333.84,-0.1912293314162472,1
2020-10-09,SPY US 10/16/20 C278,346.85,-0.19850079284993516,1
2020-10-16,SPY US 10/23/20 C280,347.29,-0.1937573785597052,1
2020-10-23,SPY US 10/30/20 C280,345.78,-0.19023656660304233,1
2020-10-30,SPY US 11/06/20 C265,326.54,-0.1884608317510872,1
2020-11-06,SPY US 11/13/20 C285,350.16,-0.18608636052090477,1
2020-11-13,SPY US 11/20/20 C287,358.1,-0.198547891650377,1
2020-11-20,SPY US 11/27/20 C285,355.33,-0.19792868601018765,1
2020-11-27,SPY US 12/04/20 C295,363.67,-0.1888250336843842,1
2020-12-04,SPY US 12/11/20 C300,369.85,-0.1888603487900501,1
2020-12-11,SPY US 12/18/20 C294,366.3,-0.1973791973791974,1
2020-12-18,SPY US 12/24/20 C300,369.18,-0.18738826588655944,1
2020-12-24,SPY US 12/31/20 C296,369.0,-0.19783197831978316,1
2020-12-31,SPY US 01/08/21 C300,373.88,-0.19760350914731994,1
2021-01-08,SPY US 01/15/21 C306,381.26,-0.19739810103341549,1
2021-01-15,SPY US 01/22/21 C305,375.7,-0.18818206015437844,1
2021-01-22,SPY US 01/29/21 C310,382.88,-0.19034684496447973,1
2021-01-29,SPY US 02/05/21 C300,370.07,-0.1893425568135758,1
2021-02-05,SPY US 02/12/21 C315,387.71,-0.18753707668102448,1
2021-02-12,SPY US 02/19/21 C315,392.64,-0.1977383863080684,1
2021-02-19,SPY US 02/26/21 C315,390.03,-0.19236981770633022,1
2021-02-26,SPY US 03/05/21 C305,380.36,-0.19812808917867286,1
2021-03-05,SPY US 03/12/21 C310,383.63,-0.19192972395276697,1
2021-03-12,SPY US 03/19/21 C316,394.06,-0.19809166116834998,1
2021-03-19,SPY US 03/26/21 C315,389.48,-0.19122933141624732,1
2021-03-26,SPY US 04/01/21 C320,395.98,-0.19187837769584326,1
2021-04-01,SPY US 04/09/21 C325,400.61,-0.18873717580689453,1
2021-04-09,SPY US 04/16/21 C330,411.49,-0.19803640428685998,1
2021-04-16,SPY US 04/23/21 C335,417.26,-0.19714326798638737,1
2021-04-23,SPY US 04/30/21 C335,416.74,-0.1961414790996785,1
2021-04-30,SPY US 05/07/21 C335,417.3,-0.1972202252576084,1
2021-05-07,SPY US 05/14/21 C340,422.12,-0.19454183644461287,1
2021-05-14,SPY US 05/21/21 C334,416.58,-0.19823323251236258,1
2021-05-21,SPY US 05/28/21 C335,414.94,-0.19265435966645783,1
2021-05-28,SPY US 06/04/21 C340,420.04,-0.19055328063993904,1
2021-06-04,SPY US 06/11/21 C340,422.6,-0.19545669663984855,1
2021-06-11,SPY US 06/18/21 C340,424.31,-0.1986990643633193,1
2021-06-18,SPY US 06/25/21 C335,414.92,-0.19261544394100072,1
2021-06-25,SPY US 07/02/21 C345,426.61,-0.1912988443777689,1
2021-07-02,SPY US 07/09/21 C350,433.72,-0.19302775984506138,1
2021-07-09,SPY US 07/16/21 C349,435.52,-0.19865907421013962,1
2021-07-16,SPY US 07/23/21 C350,431.34,-0.18857513794222647,1
2021-07-23,SPY US 07/30/21 C355,439.94,-0.1930717825157976,1
2021-07-30,SPY US 08/06/21 C355,438.51,-0.19044035483797406,1
2021-08-06,SPY US 08/13/21 C355,442.49,-0.1977219824176818,1
2021-08-13,SPY US 08/20/21 C360,445.92,-0.19268030139935421,1
2021-08-20,SPY US 08/27/21 C355,443.36,-0.19929628293035007,1
2021-08-27,SPY US 09/03/21 C365,450.25,-0.18933925596890622,1
2021-09-03,SPY US 09/10/21 C365,453.08,-0.19440275448044497,1
2021-09-10,SPY US 09/17/21 C357,445.44,-0.1985452586206896,1
2021-09-17,SPY US 09/24/21 C354,441.4,-0.19800634345265067,1
2021-09-24,SPY US 10/01/21 C360,443.91,-0.18902480232479557,1
2021-10-01,SPY US 10/08/21 C350,434.24,-0.19399410464259392,1
2021-10-08,SPY US 10/15/21 C355,437.86,-0.18923856940574613,1
2021-10-15,SPY US 10/22/21 C360,445.87,-0.1925897683181197,1
2021-10-22,SPY US 10/29/21 C364,453.12,-0.196680790960452,1
2021-10-29,SPY US 11/05/21 C368,459.25,-0.19869352204681545,1
2021-11-05,SPY US 11/12/21 C375,468.53,-0.19962435703156678,1
2021-11-12,SPY US 11/19/21 C374,467.27,-0.19960622338262668,1
2021-11-19,SPY US 11/26/21 C380,468.89,-0.18957538015312758,1
2021-11-26,SPY US 12/03/21 C370,458.97,-0.1938470924025536,1
2021-12-03,SPY US 12/10/21 C365,453.42,-0.19500683692823428,1
2021-12-10,SPY US 12/17/21 C377,470.74,-0.1991332795173557,1
2021-12-31,SPY US 01/07/22 C380,474.96,-0.19993262590533933,1
2022-01-07,SPY US 01/14/22 C375,466.09,-0.1954343581711686,1
2022-01-14,SPY US 01/21/22 C372,464.72,-0.19951798932690656,1
2022-01-21,SPY US 01/28/22 C355,437.98,-0.1894607059683091,1
2022-01-28,SPY US 02/04/22 C355,441.95,-0.1967417128634461,1
2022-02-04,SPY US 02/11/22 C360,448.7,-0.19768219300200573,1
2022-02-11,SPY US 02/18/22 C353,440.46,-0.19856513644825857,1
2022-02-18,SPY US 02/25/22 C350,434.23,-0.19397554291504504,1
2022-02-25,SPY US 03/04/22 C351,437.75,-0.19817247287264417,1
2022-03-04,SPY US 03/11/22 C350,432.17,-0.1901335122752621,1
