Roll Day,Coverage Ratio
2021-09-24,0.43538881883144187
2021-10-01,0.314699244228181
2021-10-08,0.3605057633498001
2021-10-15,0.49706800445930893
2021-10-22,0.6931468531468532
2021-10-29,0.4985654466501239
2021-11-05,0.6138330525921769
2021-11-12,0.5330655149934811
2021-11-19,0.5371898527004911
2021-11-26,0.22065865384615388
2021-12-03,0.21011121408711778
2021-12-10,0.4370265251989389
2021-12-31,0.41925851197982344
2022-01-07,0.4155157921548651
2022-01-14,0.31007911543227534
2022-01-21,0.16737784571709347
2022-01-28,0.20693311036789303
2022-02-04,0.25868061274913523
2022-02-11,0.18943352174981568
2022-02-18,0.203672607879925
2022-02-25,0.21724565756823827
2022-03-04,0.19343883880043483
2022-03-11,0.18708977540243055
2022-03-18,0.25517795637198626
2022-03-25,0.31905255739025373
2022-04-01,0.40444444444444455
2022-04-08,0.35545609257998645
2022-04-14,0.26818325019690215
2022-04-22,0.22781147353143388
2022-04-29,0.14340410720501218
2022-05-06,0.19061167747914737
2022-05-13,0.18440815791199433
2022-05-20,0.17749642066900953
2022-05-27,0.23487556561085973
2022-06-03,0.21996019900497513
2022-06-10,0.16096035865974517
2022-06-17,0.16809004988185877
2022-07-08,0.22527862879854277
2022-07-15,0.2693216783216784
2022-07-22,0.2514666302964175
2022-07-29,0.28810489510489523
2022-08-05,0.29884254001032534
2022-08-12,0.38329487179487187
2022-08-19,0.30883988294314385
2022-08-26,0.23045812687840142
2022-09-02,0.23493454265423122
2022-09-09,0.27435897435897444
2022-09-16,0.17402282545618677
2022-09-23,0.16173626373626374
2022-09-30,0.15084524886877831
2022-10-07,0.16319838056680164
2022-10-14,0.16862521891418566
2022-10-21,0.1908530011655012
2022-10-28,0.18089145741995483
2022-11-04,0.1876388888888889
2022-11-11,0.2373698093941457
2022-11-18,0.35660020581425267
2022-11-25,0.3167240215924427
2022-12-02,0.3670106944981317
2022-12-09,0.18161762765536354
2022-12-16,0.27370842685166297
2022-12-23,0.3105155236329936
2022-12-30,0.23588069433430264
2023-01-06,0.23218461538461543
2023-01-13,0.4040996668115313
2023-01-20,0.3134796380090498
2023-01-27,0.23513786536391496
2023-02-03,0.32604201965435453
2023-02-10,0.2334897408648737
2023-02-17,0.341047972245484
2023-02-24,0.3031752622377623
2023-03-03,0.30610516066212273
2023-03-10,0.1975263234863996
2023-03-17,0.16772732858196124
2023-03-24,0.23783052884615385
